Year,Month,Day,Hour,Minute,Second,Latitude,Longitude,Depth,Magnitude
2022,5,4,6,11,23,36.81,126.24,8,1.5
2022,7,18,2,15,18,36.80,126.25,9,1.7
2022,7,21,18,38,9,36.80,126.25,10,2.3
2022,7,22,6,40,1,36.80,126.24,10,1.7
2022,7,26,14,47,42,36.80,126.24,10,1.3
2022,7,26,22,52,4,36.80,126.24,9,1.0
2022,7,27,1,54,8,36.80,126.25,8,1.1
2022,7,29,17,58,32,36.80,126.24,10,1.4
2022,7,31,1,10,50,36.80,126.24,10,1.9
2022,7,31,23,45,30,36.80,126.25,9,1.8
2022,8,4,14,9,4,36.79,126.27,8,1.4
2022,8,5,20,51,54,36.79,126.26,6,1.4
2022,8,9,23,55,19,36.81,126.24,11,1.9
2022,8,13,23,13,48,36.80,126.24,9,1.6
2022,8,14,1,48,27,36.80,126.24,9,1.3
2022,12,27,1,30,32,36.81,126.25,7,1.4
