Year,Month,Day,Hour,Minute,Second,Latitude,Longitude,Depth,Magnitude
2022,11,29,0,44,40,36.27,126.71,10,1.7
2022,12,12,14,19,29,36.27,126.71,11,1.5
2022,12,14,4,2,10,36.27,126.71,12,1.7
2022,12,14,11,27,59,36.27,126.71,11,1.8
2022,12,14,14,46,39,36.27,126.71,11,1.9
2022,12,20,22,58,14,36.27,126.71,13,1.6
2022,12,25,21,57,38,36.27,126.71,10,1.4
2022,12,26,6,7,17,36.27,126.71,10,1.1
2022,12,31,2,9,40,36.27,126.71,10,1.9
2023,1,1,3,41,8,36.27,126.71,11,1.3
2024,10,16,0,55,54,36.27,126.71,12,2.1
2024,10,26,3,54,52,36.27,126.71,10,1.4
2025,3,31,23,55,18,36.27,126.70,12,1.0
2026,3,5,20,23,48,36.27,126.70,5,1.3
