Year,Month,Day,Hour,Minute,Second,Latitude,Longitude,Magnitude,Depth
2018,12,30,18,10,11,37.47,129.14,1.6,12
2019,7,9,23,53,36,37.48,129.14,1.4,14
2019,9,17,3,47,39,37.49,129.13,1.3,15
2021,1,30,23,50,38,37.48,129.15,1.7,14
2023,5,8,19,51,34,37.49,129.13,2.5,17
2023,5,8,19,54,14,37.49,129.13,1.4,15
2023,5,8,19,58,3,37.5,129.13,1.4,14
2023,5,8,20,4,40,37.5,129.13,1.3,15
2023,5,8,20,4,53,37.49,129.13,1.3,16
2023,5,9,2,45,57,37.5,129.13,1.8,15
2023,5,9,2,51,55,37.49,129.13,1.3,15
2023,5,9,3,1,52,37.5,129.13,1.2,16
2023,5,10,1,53,36,37.49,129.14,2.5,15
2023,5,10,1,53,41,37.49,129.12,2.6,16
2023,5,10,2,6,12,37.5,129.14,0.8,14
2023,5,10,16,32,10,37.49,129.12,2.5,16
2023,5,10,17,8,15,37.48,129.12,1.9,15
2023,5,10,18,19,6,37.48,129.11,1.4,15
2023,5,10,20,6,1,37.49,129.13,1.1,15
2023,5,11,4,47,39,37.49,129.13,1.5,14
2023,5,11,8,25,52,37.49,129.13,1.5,15
2023,5,11,21,27,40,37.5,129.12,1,16
