Year,Month,Day,Hour,Minute,Second,Latitude,Longitude,Depth,Magnitude
2016,12,6,18,26,29,35.93,128.90,9,1.6
2017,3,18,20,40,58,35.94,128.89,13,0.9
2017,3,27,8,17,19,35.93,128.89,8,1.0
2017,4,2,4,48,25,35.94,128.89,8,1.3
2019,7,26,4,56,14,35.94,128.89,7,0.9
2019,8,30,17,34,34,35.93,128.89,7,1.1
2019,11,4,15,59,20,35.94,128.89,6,1.6
2020,8,11,14,45,19,35.93,128.89,7,1.0
2020,8,18,23,34,59,35.95,128.89,7,0.8
2021,12,15,7,21,37,35.94,128.89,8,1.5
2021,12,25,4,57,0,35.94,128.89,7,1.6
2022,2,16,6,47,6,35.94,128.88,8,1.6
2022,5,9,2,56,42,35.94,128.89,7,1.2
