Year,Month,Day,Hour,Minute,Second,Latitude,Longitude,Depth,Magnitude
2012,07,26,13,59,33,37.1,128.11,11,1.3
2013,11,25,01,51,45,37.12,128.11,10,1.5
2013,11,25,01,52,13,37.13,128.11,11,1.1
2013,11,25,01,52,29,37.12,128.11,12,1.3
2013,11,25,02,00,25,37.12,128.11,11,1.1
2013,11,25,04,05,17,37.12,128.1,12,1.0
2013,11,26,00,33,45,37.12,128.1,10,0.9
2013,11,26,02,10,37,37.12,128.11,10,0.9
2013,11,26,02,26,02,37.12,128.11,12,2.1
2013,11,26,02,59,15,37.12,128.1,5,1.0
2013,11,26,19,48,42,37.12,128.11,11,0.8
2013,12,10,01,14,32,37.12,128.11,9,1.1
2013,12,10,01,21,12,37.12,128.11,11,1.3
2013,12,10,02,14,11,37.12,128.11,13,1.3
2013,12,10,03,24,40,37.12,128.11,13,1.3
2013,12,11,00,48,50,37.12,128.11,11,1.1
2013,12,11,06,28,22,37.12,128.11,10,1.1
2014,01,26,02,03,56,37.13,128.11,11,0.7
