network,station,startdate,latitude,longitude,datetime_start
KS,ADOA,9/30/15,36.5726,128.7009,2015-09-30
KS,AGSA,3/9/18,37.0917,127.808,2018-03-09
KS,AMDE,12/26/25,35.347034,126.03061,2025-12-26
KS,ANDB,11/29/22,33.25658,126.32875,2022-11-29
KS,ANHA,11/29/22,37.464696,128.155024,2022-11-29
KS,ANMA,12/16/16,36.5386,126.33,2016-12-16
KS,ANYA,12/23/24,37.39522,126.8918,2024-12-23
KS,ASNA,3/18/19,36.8277,127.0123,2019-03-18
KS,BAAX,12/23/24,37.1296,127.3663,2024-12-23
KS,BAEA,11/16/23,35.4868,129.4353,2023-11-16
KS,BAR2,12/16/16,37.9771,124.7142,2016-12-16
KS,BASA,12/23/24,37.3279,127.4808,2024-12-23
KS,BAU,5/31/16,35.1027,127.5968,2016-05-31
KS,BCCA,12/23/24,37.94746,127.75422,2024-12-23
KS,BESA,11/16/23,35.3303,126.4764,2023-11-16
KS,BGDB,5/31/16,34.7726,125.9469,2016-05-31
KS,BKWA,3/18/19,37.1681,127.9875,2019-03-18
KS,BLGA,3/9/18,36.1392,127.3032,2018-03-09
KS,BLLA,3/9/18,34.8646,127.4638,2018-03-09
KS,BOGA,3/18/19,37.0131,127.3294,2019-03-18
KS,BOHB,11/29/22,36.926326,129.053685,2022-11-29
KS,BON2,3/9/18,36.5482,127.7981,2018-03-09
KS,BSAA,3/18/19,35.0661,129.0741,2019-03-18
KS,BSOA,12/23/24,35.75086,128.50472,2024-12-23
KS,BUDA,11/16/23,37.3671,127.1305,2023-11-16
KS,BUMA,12/23/24,37.898,127.5522,2024-12-23
KS,BURB,5/31/16,37.2317,127.7486,2016-05-31
KS,BUS3,3/18/20,35.2486,129.1124,2020-03-18
KS,BUSA,3/9/18,36.9791,128.6611,2018-03-09
KS,BUYB,9/30/15,36.2726,126.9206,2015-09-30
KS,CBBA,12/23/24,36.48752,127.73418,2024-12-23
KS,CBEA,12/26/25,36.923008,127.702237,2025-12-26
KS,CDSA,11/22/21,35.704465,128.444361,2021-11-22
KS,CE2A,12/24/20,36.6268,127.5135,2020-12-24
KS,CEA2,3/9/18,36.8231,127.2574,2018-03-09
KS,CEBA,10/21/20,37.5405,130.9169,2020-10-21
KS,CGAA,3/18/19,36.7069,127.7263,2019-03-18
KS,CGDA,3/9/18,35.6628,128.6703,2018-03-09
KS,CGIA,3/9/18,37.5823,128.1527,2018-03-09
KS,CGPA,3/18/19,34.8766,126.9709,2019-03-18
KS,CGUB,3/9/18,37.5583,127.7136,2018-03-09
KS,CGWB,3/9/18,35.1702,128.5721,2018-03-09
KS,CGYA,3/9/18,36.4234767,126.7787833,2018-03-09
KS,CHBA,12/26/25,36.191818,127.48027,2025-12-26
KS,CHCB,11/29/22,37.777551,127.814392,2022-11-29
KS,CHDA,3/18/19,34.2367,127.2496,2019-03-18
KS,CHIA,11/29/22,37.127287,127.116933,2022-11-29
KS,CHJ3,3/18/20,36.873,127.9748,2020-03-18
KS,CHOA,3/18/19,35.8408,127.117,2019-03-18
KS,CHRB,3/18/19,35.5342,128.4779,2019-03-18
KS,CHSA,12/23/24,36.26593,127.39234,2024-12-23
KS,CHWA,12/26/25,38.14802,127.304115,2025-12-26
KS,CHYB,9/30/15,36.9439,128.9144,2015-09-30
KS,CIGB,5/31/16,36.0398,128.3813,2016-05-31
KS,CJD,9/30/15,33.9593,126.2933,2015-09-30
KS,CJDB,3/9/18,36.1741,126.5285,2018-03-09
KS,CLSA,3/18/19,35.3628,128.4907,2019-03-18
KS,CNSA,12/26/25,35.639565,128.461237,2025-12-26
KS,CPR2,5/31/16,36.2211,127.9718,2016-05-31
KS,CSDB,12/16/16,34.1811,126.8956,2016-12-16
KS,CSOA,3/9/18,36.3878,129.0854,2018-03-09
KS,CWO2,5/31/16,38.0834,127.5204,2016-05-31
KS,CWSX,12/26/25,35.212247,128.684026,2025-12-26
KS,DABX,12/23/24,35.53446,127.99004,2024-12-23
KS,DAGA,3/18/19,35.8788,128.6527,2019-03-18
KS,DAJA,11/16/23,35.4865,128.9291,2023-11-16
KS,DAMA,12/23/24,35.28607,126.60413,2024-12-23
KS,DASA,11/16/23,37.3695,127.5868,2023-11-16
KS,DASB,11/29/22,34.744836,127.273148,2022-11-29
KS,DASX,12/26/25,35.843736,128.522098,2025-12-26
KS,DAYA,11/29/22,35.310266,126.972796,2022-11-29
KS,DDCA,5/31/16,37.902,127.061,2016-05-31
KS,DDCB,11/22/21,37.8317,124.7069,2021-11-22
KS,DEI2,3/18/19,37.2557,126.1048,2019-03-18
KS,DGHA,3/9/18,35.8352,127.5711,2018-03-09
KS,DGJA,3/18/19,36.8894,126.6174,2019-03-18
KS,DGLA,3/9/18,36.7907,128.2706,2018-03-09
KS,DJEA,12/23/24,35.21743,128.96091,2024-12-23
KS,DKSA,3/9/18,36.9044,128.1456,2018-03-09
KS,DNBA,3/9/18,36.3906,128.4284,2018-03-09
KS,DNYA,3/18/19,36.9877,128.3559,2019-03-18
KS,DOHA,12/26/25,35.969932,128.566144,2025-12-26
KS,DOWA,12/26/25,35.274907,126.735695,2025-12-26
KS,DSAA,12/23/24,36.35805,129.28169,2024-12-23
KS,DSEA,12/23/24,35.31115,127.96707,2024-12-23
KS,DUSB,5/31/16,35.8942,127.7731,2016-05-31
KS,ECDB,9/30/15,36.1183,125.9797,2015-09-30
KS,EOJA,12/23/24,37.07365,127.90351,2024-12-23
KS,EURB,11/11/12,35.3225,128.2882,2012-11-11
KS,EUSB,9/30/15,36.3561,128.6887,2015-09-30
KS,GACA,3/9/18,35.1136,128.3071,2018-03-09
KS,GAGA,3/18/19,37.1306,129.1696,2019-03-18
