Year,Month,Day,Hour,Minute,Second,Latitude,Longitude,Depth,Magnitude
2008,3,15,1,38,1,38.11,127.10,6,2.0
2008,9,11,10,46,10,38.08,127.12,6,2.4
2008,10,8,11,4,34,38.12,127.11,6,2.1
2009,3,26,22,21,25,38.11,127.13,6,2.9
2012,1,17,23,15,0,38.11,127.10,8,1.3
2012,10,16,7,47,19,38.13,127.11,10,1.4
2013,12,19,12,5,40,38.13,127.10,5,1.0
2013,12,19,12,38,25,38.11,127.11,6,2.9
2013,12,19,12,40,20,38.12,127.10,6,1.4
2013,12,19,12,48,44,38.12,127.10,6,1.0
2013,12,19,13,0,36,38.12,127.11,5,1.2
2013,12,30,10,41,51,38.12,127.11,5,0.8
2014,1,1,13,19,1,38.13,127.09,12,1.3
2014,1,20,3,19,24,38.04,127.00,5,0.8
2014,2,9,0,4,39,38.13,127.11,7,0.7
2014,8,26,14,48,15,38.08,127.08,6,1.3
2014,10,18,4,15,34,38.13,127.10,9,1.4
2015,2,21,17,20,4,38.13,127.09,6,0.9
2015,4,29,0,52,6,38.12,127.11,7,0.9
2016,2,28,23,10,47,38.13,127.11,6,0.5
2016,5,15,17,4,21,38.13,127.11,8,1.1
2016,6,13,12,39,0,38.13,127.11,7,0.8
2016,8,19,7,30,30,38.13,127.10,9,0.5
2017,3,25,3,52,7,38.13,127.10,8,1.9
2018,5,1,10,49,47,38.13,127.10,7,1.1
2018,6,19,5,5,46,38.14,127.09,10,1.0
2018,9,10,9,32,20,38.13,127.09,6,0.7
2018,11,27,1,38,46,37.99,127.09,6,1.3
2019,2,20,9,32,30,38.13,127.09,7,1.1
2019,6,22,23,33,56,38.13,127.09,7,1.0
2019,8,22,0,6,14,38.13,127.09,6,0.9
2019,8,24,1,28,24,38.13,127.09,11,0.8
2019,8,25,19,34,42,38.13,127.09,7,1.2
2019,9,11,4,52,7,38.13,127.09,9,2.0
2019,9,14,3,48,11,38.13,127.09,8,1.2
2019,9,17,3,38,36,38.13,127.09,6,1.0
2019,9,18,0,55,9,38.13,127.09,8,1.3
2019,9,26,4,58,46,38.13,127.10,7,1.2
2019,10,6,15,57,29,38.13,127.10,8,0.9
2019,11,8,20,11,11,38.13,127.10,7,1.3
2020,1,25,5,56,13,38.13,127.11,6,1.2
2020,4,12,3,6,4,38.13,127.09,8,1.1
2020,6,1,20,41,31,38.12,127.10,5,1.0
2020,10,1,19,49,4,38.13,127.09,7,0.9
2020,12,27,8,1,27,38.02,126.93,8,1.2
2021,7,21,1,26,27,38.13,127.10,9,0.6
2021,7,23,22,42,25,38.13,127.09,5,1.0
2021,8,9,23,36,10,38.13,127.09,7,1.3
2021,9,20,14,8,25,38.02,126.92,8,1.4
2022,2,16,19,43,8,38.02,126.96,8,1.4
2022,7,28,22,0,40,38.13,127.09,8,0.9
2022,8,26,3,10,43,38.13,127.10,7,0.8
2022,10,4,18,37,18,38.13,127.11,5,1.4
2022,12,16,3,33,24,38.13,127.11,6,1.2
2022,12,18,12,13,51,38.13,127.09,7,1.5
2022,12,18,14,34,15,38.13,127.09,7,1.7
2022,12,18,21,27,56,38.13,127.09,6,1.1
2023,1,24,19,37,52,38.12,127.10,5,1.6
2023,2,11,9,23,23,38.13,127.10,9,1.3
2023,2,22,5,56,39,38.13,127.10,5,1.2
2023,3,6,0,3,9,38.13,127.10,6,0.6
2023,4,12,19,54,45,38.13,127.09,9,1.7
2023,4,12,22,45,46,38.13,127.09,7,2.1
2023,4,13,0,12,24,38.13,127.10,7,0.9
2023,4,13,3,38,33,38.13,127.09,7,1.3
2023,4,13,5,44,13,38.13,127.09,7,0.9
2023,4,16,10,23,4,38.12,127.11,7,1.5
2023,5,9,5,21,59,38.13,127.09,6,1.3
2023,5,10,13,27,0,38.13,127.10,6,0.6
2023,5,10,13,29,35,38.13,127.09,5,2.2
2023,5,12,6,22,25,38.13,127.10,6,1.6
2023,5,18,15,39,55,38.13,127.10,6,1.2
2023,5,30,16,21,58,38.13,127.10,10,1.6
2023,6,24,4,22,31,38.13,127.09,8,0.9
2023,6,24,5,4,36,38.13,127.09,8,0.8
2023,6,24,17,19,32,38.13,127.09,7,0.9
2023,7,9,4,29,22,38.12,127.11,5,0.8
2023,7,11,2,27,41,38.11,127.10,7,0.8
2023,8,20,23,57,7,38.12,127.10,6,0.5
2023,9,12,11,15,30,38.13,127.09,7,1.1
2023,9,13,5,2,6,38.13,127.10,7,0.7
2023,9,28,11,19,12,38.13,127.09,6,0.7
2023,9,28,11,26,12,38.13,127.09,6,0.9
2023,11,7,1,59,16,38.13,127.10,5,1.6
2023,12,10,13,58,34,38.13,127.10,6,1.2
2023,12,15,10,45,17,38.13,127.09,7,1.8
2023,12,23,3,30,37,38.13,127.09,6,1.0
2023,12,31,0,10,26,38.13,127.09,6,1.3
2024,2,16,22,50,18,38.13,127.10,7,1.9
2024,2,16,22,50,19,38.13,127.10,7,1.9
2024,2,17,2,40,4,38.13,127.09,7,1.1
2024,2,17,4,6,30,38.13,127.09,8,1.1
2024,2,21,23,0,45,38.12,127.10,6,1.3
2024,2,24,1,48,53,38.13,127.10,6,1.1
2024,4,3,4,36,19,38.13,127.09,7,1.1
2024,4,19,4,21,1,38.13,127.09,7,0.6
2024,5,30,17,4,57,38.13,127.10,9,1.3
2024,5,31,3,35,2,38.13,127.09,9,2.8
2024,5,31,4,43,3,38.13,127.09,7,0.6
2024,6,11,16,38,17,38.12,127.10,6,1.3
2024,7,1,22,46,22,38.13,127.10,7,0.8
2024,7,2,1,30,58,38.13,127.09,6,0.8
2024,7,13,4,42,17,38.13,127.10,6,0.6
2024,9,15,3,43,35,38.13,127.10,8,1.5
2024,10,19,9,17,55,38.13,127.09,8,1.2
